multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
421,XIIUME,2020-04-25,08:15,115.0,40,RUTA 9,R02,PAGADA,75.0,77.0
422,XIIUME,2024-01-17,18:19,116.0,60,AV SIEMPRE VIVA,R01,IMPAGA,56.0,59.0
428,GN64OTP,2023-07-01,09:20,68.0,60,RUTA 9,R03,APELADA,8.0,11.0
432,6NCE831,2023-06-20,09:21,88.0,80,RUTA 9,R01,PAGADA,8.0,12.0
449,CD05601,2023-09-23,09:21,99.0,80,AV LIBERTADOR,R02,IMPAGA,19.0,23.0
456,XIIUME,2020-05-05,18:21,116.0,80,AV LIBERTADOR,R02,IMPAGA,36.0,40.0
473,2999961,2021-03-29,18:22,99.0,60,AV SIEMPRE VIVA,R03,IMPAGA,39.0,42.0
479,PIW4215,2022-11-03,18:22,94.0,80,AV LIBERTADOR,R01,PAGADA,14.0,18.0
481,831MDB,2020-01-06,09:23,93.0,80,RUTA 9,R03,IMPAGA,13.0,17.0
484,UM96201,2023-04-14,08:17,77.0,40,AV SIEMPRE VIVA,R02,IMPAGA,37.0,39.0
488,6611172,2020-03-31,14:15,100.0,60,AV LIBERTADOR,R03,PAGADA,40.0,43.0
490,81ZFJD,2020-04-10,09:23,62.0,40,AV SIEMPRE VIVA,R03,IMPAGA,22.0,24.0
492,M431ZW,2020-05-29,09:23,62.0,40,AV SIEMPRE VIVA,R02,APELADA,22.0,24.0
497,BB8986,2020-07-14,14:16,150.0,80,AV SIEMPRE VIVA,R02,IMPAGA,70.0,74.0
506,691XC80,2023-12-31,14:16,53.0,40,AV LIBERTADOR,R01,PAGADA,13.0,15.0
511,409,2021-04-05,08:18,62.0,60,RUTA 9,R01,APELADA,2.0,5.0
514,9999868,2022-02-09,09:24,71.0,40,AV SIEMPRE VIVA,R02,APELADA,31.0,33.0
518,GOOGLE,2023-11-12,18:24,146.0,80,AV SIEMPRE VIVA,R01,APELADA,66.0,70.0
519,WU08YWC,2022-10-15,08:18,100.0,40,AV LIBERTADOR,R01,IMPAGA,60.0,62.0
524,HF3461,2020-01-28,18:24,87.0,80,AV LIBERTADOR,R03,IMPAGA,7.0,11.0
529,589222,2020-01-10,18:25,77.0,80,RUTA 9,R01,APELADA,-3.0,1.0
541,WEFLYN,2020-06-25,08:19,118.0,40,RUTA 9,R03,APELADA,78.0,80.0
555,HAMSTUR,2023-02-19,14:18,98.0,40,AV LIBERTADOR,R01,APELADA,58.0,60.0
565,6NCE831,2021-12-16,14:19,134.0,80,AV LIBERTADOR,R02,APELADA,54.0,58.0
581,8B90638,2021-11-17,18:26,107.0,60,AV LIBERTADOR,R03,APELADA,47.0,50.0
582,INTIGR8,2020-06-14,14:20,95.0,60,AV SIEMPRE VIVA,R01,APELADA,35.0,38.0
583,DK414N,2020-07-04,08:21,76.0,60,AV SIEMPRE VIVA,R03,APELADA,16.0,19.0
593,B81JKY,2022-06-01,18:27,141.0,80,AV SIEMPRE VIVA,R02,PAGADA,61.0,65.0
600,WEFLYN,2021-01-16,14:20,153.0,80,AV LIBERTADOR,R03,IMPAGA,73.0,77.0
608,FD1475,2020-10-21,08:22,113.0,80,AV LIBERTADOR,R02,APELADA,33.0,37.0
616,HF58HXP,2022-10-22,14:21,76.0,60,AV SIEMPRE VIVA,R02,PAGADA,16.0,19.0
637,FVIOUHP,2021-03-30,08:23,139.0,60,AV SIEMPRE VIVA,R03,IMPAGA,79.0,82.0
639,MPX9357,2022-11-28,14:21,134.0,60,RUTA 9,R02,IMPAGA,74.0,77.0
643,YLO8WUE,2023-02-02,14:22,87.0,60,AV SIEMPRE VIVA,R02,PAGADA,27.0,30.0
647,HK06YMX,2020-09-30,14:22,95.0,80,RUTA 9,R03,IMPAGA,15.0,19.0
648,TL03GOG,2022-02-14,09:30,85.0,60,RUTA 9,R03,IMPAGA,25.0,28.0
652,HAMSTUR,2022-06-10,14:22,75.0,40,AV SIEMPRE VIVA,R03,PAGADA,35.0,37.0
664,PIW4215,2022-03-08,18:30,73.0,40,RUTA 9,R02,IMPAGA,33.0,35.0
665,J1S1,2023-04-18,08:24,75.0,60,RUTA 9,R02,PAGADA,15.0,18.0
671,T0YDR,2022-03-09,09:31,52.0,40,RUTA 9,R03,PAGADA,12.0,14.0
675,WEFLYN,2023-08-21,14:23,104.0,60,AV LIBERTADOR,R03,PAGADA,44.0,47.0
681,TL03GOG,2020-10-11,09:32,63.0,60,AV LIBERTADOR,R03,APELADA,3.0,6.0
699,DK414N,2022-05-28,09:33,133.0,60,RUTA 9,R02,APELADA,73.0,76.0
700,PIW4215,2022-08-22,09:33,96.0,80,AV SIEMPRE VIVA,R03,PAGADA,16.0,20.0
701,FVIOUHP,2020-08-31,09:33,61.0,60,AV LIBERTADOR,R02,PAGADA,1.0,4.0
714,9999868,2021-01-25,09:34,149.0,80,AV SIEMPRE VIVA,R01,PAGADA,69.0,73.0
718,831MDB,2020-11-22,08:25,135.0,60,AV LIBERTADOR,R02,APELADA,75.0,78.0
720,RFH373,2023-08-21,08:25,116.0,80,AV LIBERTADOR,R03,APELADA,36.0,40.0
730,AWS167,2022-06-01,08:26,40.0,40,AV LIBERTADOR,R02,PAGADA,0.0,2.0
732,CT5B876,2021-11-01,14:25,88.0,80,AV SIEMPRE VIVA,R01,IMPAGA,8.0,12.0
734,FVIOUHP,2020-12-03,08:26,111.0,80,AV SIEMPRE VIVA,R03,PAGADA,31.0,35.0
737,AWS167,2021-01-28,14:25,118.0,60,AV SIEMPRE VIVA,R01,APELADA,58.0,61.0
752,T0YDR,2022-04-08,18:34,126.0,60,AV SIEMPRE VIVA,R02,IMPAGA,66.0,69.0
759,VTIIAHV,2023-06-04,08:27,118.0,60,AV LIBERTADOR,R02,APELADA,58.0,61.0
773,DI2LOT,2020-07-17,08:28,115.0,40,AV LIBERTADOR,R03,APELADA,75.0,77.0
776,J1S1,2022-04-21,18:36,89.0,40,RUTA 9,R01,IMPAGA,49.0,51.0
784,BB8986,2022-01-28,18:36,82.0,60,RUTA 9,R02,IMPAGA,22.0,25.0
792,589222,2021-09-25,18:37,153.0,80,AV SIEMPRE VIVA,R02,APELADA,73.0,77.0
793,CBMUK,2022-02-09,09:36,93.0,60,AV LIBERTADOR,R03,IMPAGA,33.0,36.0
807,W326AVE,2023-08-15,08:30,82.0,60,RUTA 9,R02,APELADA,22.0,25.0
816,DK414N,2020-08-22,09:37,117.0,80,AV LIBERTADOR,R03,IMPAGA,37.0,41.0
819,6EVY261,2024-01-07,09:37,135.0,80,AV LIBERTADOR,R01,IMPAGA,55.0,59.0
842,AI7OVF,2020-11-19,14:30,54.0,40,AV LIBERTADOR,R03,PAGADA,14.0,16.0
847,UM96201,2021-06-18,18:38,135.0,60,AV SIEMPRE VIVA,R02,APELADA,75.0,78.0
850,6EVY261,2020-06-11,09:39,98.0,80,AV LIBERTADOR,R01,IMPAGA,18.0,22.0
851,6EVY261,2023-10-16,09:39,117.0,40,AV LIBERTADOR,R02,IMPAGA,77.0,79.0
855,NTHGLFT,2022-09-16,09:40,108.0,40,AV LIBERTADOR,R01,APELADA,68.0,70.0
862,6NCE831,2023-09-26,18:39,59.0,60,AV LIBERTADOR,R03,PAGADA,-1.0,2.0
872,990XYK,2024-01-08,14:31,80.0,40,RUTA 9,R01,PAGADA,40.0,42.0
873,INTIGR8,2020-05-18,14:32,113.0,60,AV LIBERTADOR,R02,PAGADA,53.0,56.0
882,BB8986,2022-07-16,14:32,124.0,80,AV LIBERTADOR,R01,APELADA,44.0,48.0
884,6NCE831,2022-07-02,09:41,69.0,60,AV LIBERTADOR,R01,APELADA,9.0,12.0
888,9999868,2023-04-07,09:41,53.0,40,AV LIBERTADOR,R01,IMPAGA,13.0,15.0
890,BP717,2022-08-23,08:33,133.0,60,AV LIBERTADOR,R03,APELADA,73.0,76.0
897,MVU4688,2023-09-01,08:33,90.0,60,AV LIBERTADOR,R03,IMPAGA,30.0,33.0
900,BM351,2020-09-04,08:34,85.0,40,AV SIEMPRE VIVA,R01,PAGADA,45.0,47.0
909,691XC80,2022-09-12,08:34,117.0,80,AV LIBERTADOR,R02,IMPAGA,37.0,41.0
914,UM96201,2021-05-06,18:41,96.0,80,AV LIBERTADOR,R01,APELADA,16.0,20.0
915,J1S1,2022-05-29,08:34,105.0,60,RUTA 9,R03,IMPAGA,45.0,48.0
923,8B90638,2022-07-30,08:35,111.0,80,RUTA 9,R03,PAGADA,31.0,35.0
947,CT5B876,2020-06-18,09:43,39.0,40,AV SIEMPRE VIVA,R01,APELADA,-1.0,1.0
949,NHZ1002,2020-03-15,08:36,127.0,60,AV SIEMPRE VIVA,R01,APELADA,67.0,70.0
967,INTIGR8,2021-11-06,08:38,81.0,60,AV LIBERTADOR,R03,IMPAGA,21.0,24.0
976,9999868,2023-05-05,14:35,109.0,60,AV SIEMPRE VIVA,R01,PAGADA,49.0,52.0
977,BB8986,2022-03-14,09:44,81.0,60,RUTA 9,R02,PAGADA,21.0,24.0
979,XIIUME,2023-06-18,14:36,68.0,60,AV SIEMPRE VIVA,R03,APELADA,8.0,11.0
983,YLO8WUE,2023-10-07,18:44,59.0,40,AV SIEMPRE VIVA,R01,APELADA,19.0,21.0
992,TL03GOG,2020-01-14,08:39,128.0,60,AV LIBERTADOR,R01,IMPAGA,68.0,71.0
995,VY90540,2021-03-27,14:36,89.0,60,AV LIBERTADOR,R03,IMPAGA,29.0,32.0
1007,T0YDR,2022-12-03,09:45,89.0,60,AV LIBERTADOR,R03,IMPAGA,29.0,32.0
1009,HF3461,2023-02-15,18:45,132.0,80,AV SIEMPRE VIVA,R03,APELADA,52.0,56.0
1019,HAMSTUR,2020-11-27,18:45,71.0,60,AV LIBERTADOR,R03,IMPAGA,11.0,14.0
1022,831MDB,2021-10-03,09:46,153.0,80,AV LIBERTADOR,R01,IMPAGA,73.0,77.0
1026,81ZFJD,2021-02-08,08:40,119.0,40,RUTA 9,R03,APELADA,79.0,81.0
1032,MVU4688,2020-01-22,09:46,138.0,60,RUTA 9,R03,IMPAGA,78.0,81.0
1035,VY90540,2023-09-24,08:41,118.0,40,AV LIBERTADOR,R02,PAGADA,78.0,80.0
1062,UM96201,2023-08-10,18:47,93.0,60,AV LIBERTADOR,R03,PAGADA,33.0,36.0
1063,409,2024-01-02,14:39,126.0,80,RUTA 9,R01,IMPAGA,46.0,50.0
1074,T0YDR,2023-10-10,09:48,157.0,80,AV SIEMPRE VIVA,R02,IMPAGA,77.0,81.0
1079,UW3932,2022-11-27,18:48,141.0,80,AV LIBERTADOR,R01,IMPAGA,61.0,65.0
1085,81ZFJD,2023-06-08,18:48,123.0,80,AV LIBERTADOR,R01,IMPAGA,43.0,47.0
1089,UW3932,2021-03-02,08:43,153.0,80,AV LIBERTADOR,R01,IMPAGA,73.0,77.0
1091,FVIOUHP,2022-05-08,14:40,142.0,80,AV LIBERTADOR,R01,APELADA,62.0,66.0
1094,TL03GOG,2022-07-01,14:40,113.0,60,RUTA 9,R01,PAGADA,53.0,56.0
1095,GE1466,2021-02-15,14:41,86.0,40,RUTA 9,R03,PAGADA,46.0,48.0
1101,6EVY261,2022-03-09,18:49,47.0,40,AV SIEMPRE VIVA,R01,APELADA,7.0,9.0
1120,T0YDR,2020-09-28,18:50,68.0,40,AV LIBERTADOR,R03,IMPAGA,28.0,30.0
1148,WU08YWC,2021-03-01,14:42,146.0,80,AV LIBERTADOR,R03,IMPAGA,66.0,70.0
1162,6NCE831,2022-02-10,08:46,62.0,40,AV LIBERTADOR,R01,PAGADA,22.0,24.0
1164,AWS167,2020-02-03,08:46,85.0,40,RUTA 9,R01,IMPAGA,45.0,47.0
1165,409,2023-03-20,09:51,111.0,40,AV LIBERTADOR,R03,IMPAGA,71.0,73.0
1167,81ZFJD,2021-10-18,09:51,113.0,40,AV SIEMPRE VIVA,R02,IMPAGA,73.0,75.0
1176,409,2020-06-01,08:47,90.0,80,RUTA 9,R03,APELADA,10.0,14.0
1181,NHZ1002,2020-11-13,18:51,71.0,40,RUTA 9,R03,APELADA,31.0,33.0
1197,GOOGLE,2023-02-13,08:47,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,10.0
1209,GN64OTP,2021-07-13,09:53,118.0,80,AV LIBERTADOR,R02,PAGADA,38.0,42.0
1230,GCP332,2020-06-08,09:54,111.0,40,AV LIBERTADOR,R01,IMPAGA,71.0,73.0
1231,BHRP770,2022-12-11,14:44,115.0,60,AV LIBERTADOR,R02,APELADA,55.0,58.0
1255,T0YDR,2020-12-01,09:54,139.0,60,AV LIBERTADOR,R03,APELADA,79.0,82.0
1257,J1S1,2023-08-09,08:50,60.0,40,AV LIBERTADOR,R01,IMPAGA,20.0,22.0
1258,AWS167,2020-11-05,09:55,107.0,40,AV SIEMPRE VIVA,R01,APELADA,67.0,69.0
1260,FD1475,2022-01-23,08:50,79.0,60,AV SIEMPRE VIVA,R02,IMPAGA,19.0,22.0
1263,M431ZW,2021-02-19,09:55,120.0,60,RUTA 9,R03,APELADA,60.0,63.0
1266,990XYK,2022-05-24,18:55,109.0,40,RUTA 9,R01,PAGADA,69.0,71.0
1270,UW3932,2023-07-14,08:51,117.0,80,RUTA 9,R03,IMPAGA,37.0,41.0
1284,5777770,2022-04-11,18:56,64.0,40,AV SIEMPRE VIVA,R02,IMPAGA,24.0,26.0
1286,NHZ1002,2020-05-20,08:52,79.0,40,AV SIEMPRE VIVA,R03,IMPAGA,39.0,41.0
1301,589222,2020-12-17,14:47,122.0,60,AV SIEMPRE VIVA,R02,PAGADA,62.0,65.0
1304,8B90638,2021-01-11,09:56,94.0,80,RUTA 9,R02,APELADA,14.0,18.0
1305,BM351,2020-08-12,08:53,81.0,40,AV LIBERTADOR,R02,PAGADA,41.0,43.0
1309,2999961,2023-05-12,14:47,122.0,60,AV LIBERTADOR,R01,PAGADA,62.0,65.0
1310,DK414N,2023-11-26,09:56,153.0,80,AV LIBERTADOR,R03,PAGADA,73.0,77.0
1318,GCP332,2023-02-09,09:56,125.0,80,AV LIBERTADOR,R03,APELADA,45.0,49.0
1326,VY90540,2022-09-24,18:57,145.0,80,AV LIBERTADOR,R03,APELADA,65.0,69.0
1329,GOOGLE,2020-03-31,18:57,46.0,40,AV LIBERTADOR,R01,PAGADA,6.0,8.0
1330,VNK296GP,2020-12-05,08:54,107.0,80,RUTA 9,R01,APELADA,27.0,31.0
1332,UM96201,2021-03-27,18:57,91.0,60,AV LIBERTADOR,R02,APELADA,31.0,34.0
1337,MVU4688,2023-12-26,18:57,122.0,60,AV LIBERTADOR,R03,IMPAGA,62.0,65.0
1340,9999868,2021-03-22,08:55,128.0,80,AV SIEMPRE VIVA,R03,APELADA,48.0,52.0
1349,GOOGLE,2023-12-31,18:58,49.0,40,RUTA 9,R02,PAGADA,9.0,11.0
1354,W326AVE,2021-01-11,14:48,117.0,60,RUTA 9,R03,IMPAGA,57.0,60.0
1359,0695DVH,2020-12-29,09:58,126.0,60,AV SIEMPRE VIVA,R03,PAGADA,66.0,69.0
1361,6NCE831,2022-04-10,08:55,75.0,60,AV LIBERTADOR,R01,IMPAGA,15.0,18.0
1370,CBMUK,2023-01-25,09:58,112.0,80,AV SIEMPRE VIVA,R03,APELADA,32.0,36.0
1380,BM351,2021-03-08,08:56,90.0,80,RUTA 9,R01,PAGADA,10.0,14.0
1391,UM96201,2023-01-08,08:57,94.0,80,RUTA 9,R03,PAGADA,14.0,18.0
1393,5777770,2023-06-22,14:50,40.0,40,AV SIEMPRE VIVA,R02,APELADA,0.0,2.0
1396,CBMUK,2023-11-29,08:57,69.0,40,RUTA 9,R02,PAGADA,29.0,31.0
1398,TL03GOG,2023-03-15,14:50,86.0,60,RUTA 9,R01,IMPAGA,26.0,29.0
1412,GE1466,2022-07-11,14:51,117.0,60,AV SIEMPRE VIVA,R03,PAGADA,57.0,60.0
1414,HAMSTUR,2023-11-21,14:51,147.0,80,AV SIEMPRE VIVA,R02,IMPAGA,67.0,71.0
1419,W326AVE,2020-01-28,10:00,72.0,40,RUTA 9,R02,APELADA,32.0,34.0
1420,6NCE831,2022-07-01,14:52,108.0,60,AV SIEMPRE VIVA,R03,PAGADA,48.0,51.0
1434,NTHGLFT,2022-04-23,19:02,122.0,60,AV LIBERTADOR,R01,PAGADA,62.0,65.0
1443,WU341A,2021-07-10,10:01,136.0,60,AV SIEMPRE VIVA,R01,APELADA,76.0,79.0
1449,CT5B876,2020-03-28,08:59,96.0,40,AV SIEMPRE VIVA,R02,PAGADA,56.0,58.0
1453,409,2022-03-20,14:53,65.0,40,AV LIBERTADOR,R03,IMPAGA,25.0,27.0
1458,VNK296GP,2023-12-21,19:03,99.0,60,AV LIBERTADOR,R01,PAGADA,39.0,42.0
1468,BHRP770,2021-02-09,09:00,95.0,80,AV SIEMPRE VIVA,R02,IMPAGA,15.0,19.0
1490,M20CPR,2020-07-01,14:55,93.0,80,RUTA 9,R01,IMPAGA,13.0,17.0
1491,UW3932,2021-11-14,09:02,118.0,60,AV SIEMPRE VIVA,R03,IMPAGA,58.0,61.0
1495,FVIOUHP,2021-07-03,10:02,119.0,60,AV SIEMPRE VIVA,R01,PAGADA,59.0,62.0
1499,NHZ1002,2023-05-29,10:02,56.0,40,RUTA 9,R01,APELADA,16.0,18.0
1500,NTHGLFT,2022-03-23,19:05,81.0,60,RUTA 9,R02,APELADA,21.0,24.0
1505,990XYK,2023-04-03,10:03,117.0,40,RUTA 9,R01,APELADA,77.0,79.0
1513,NTHGLFT,2023-04-17,10:03,114.0,80,RUTA 9,R01,PAGADA,34.0,38.0
1521,HAMSTUR,2022-09-12,09:02,94.0,40,AV SIEMPRE VIVA,R03,APELADA,54.0,56.0
1526,TL03GOG,2020-03-08,10:04,133.0,80,AV LIBERTADOR,R02,PAGADA,53.0,57.0
1528,691XC80,2021-01-06,09:03,105.0,60,AV SIEMPRE VIVA,R01,IMPAGA,45.0,48.0
1541,TL03GOG,2020-07-06,19:06,75.0,40,AV SIEMPRE VIVA,R02,PAGADA,35.0,37.0
1559,831MDB,2020-06-20,09:03,89.0,40,AV SIEMPRE VIVA,R03,IMPAGA,49.0,51.0
1562,2999961,2023-02-13,09:04,80.0,40,AV SIEMPRE VIVA,R02,APELADA,40.0,42.0
1563,W326AVE,2023-10-27,10:06,153.0,80,RUTA 9,R01,PAGADA,73.0,77.0
1566,DI2LOT,2022-01-24,09:04,71.0,40,AV LIBERTADOR,R02,PAGADA,31.0,33.0
1570,VY90540,2023-05-20,14:58,58.0,40,RUTA 9,R01,APELADA,18.0,20.0
1572,YLO8WUE,2022-09-15,19:07,119.0,60,AV LIBERTADOR,R01,IMPAGA,59.0,62.0
1590,FD1475,2022-08-09,09:06,110.0,40,AV SIEMPRE VIVA,R03,PAGADA,70.0,72.0
1622,HF3461,2022-09-12,14:59,45.0,40,RUTA 9,R01,IMPAGA,5.0,7.0
1631,W326AVE,2021-06-23,14:59,90.0,40,AV SIEMPRE VIVA,R02,APELADA,50.0,52.0
1634,B81JKY,2022-01-10,10:09,123.0,60,AV SIEMPRE VIVA,R03,PAGADA,63.0,66.0
1645,TL03GOG,2023-01-01,10:09,111.0,60,AV LIBERTADOR,R03,APELADA,51.0,54.0
1650,41RSTZ,2022-05-17,10:10,78.0,60,RUTA 9,R02,PAGADA,18.0,21.0
1653,CD05601,2020-11-21,19:10,135.0,60,AV SIEMPRE VIVA,R02,PAGADA,75.0,78.0
1665,GOOGLE,2021-04-08,09:08,79.0,60,RUTA 9,R03,PAGADA,19.0,22.0
1668,FVIOUHP,2022-06-03,10:11,84.0,60,AV LIBERTADOR,R01,IMPAGA,24.0,27.0
1680,MPX9357,2022-06-01,09:08,151.0,80,AV LIBERTADOR,R03,APELADA,71.0,75.0
1686,FVIOUHP,2022-06-15,19:12,43.0,40,RUTA 9,R01,PAGADA,3.0,5.0
1692,HAMSTUR,2020-08-01,19:12,116.0,40,AV LIBERTADOR,R03,APELADA,76.0,78.0
1701,9999868,2020-01-19,10:12,89.0,60,RUTA 9,R01,APELADA,29.0,32.0
1702,WU08YWC,2022-08-02,19:13,80.0,40,RUTA 9,R02,PAGADA,40.0,42.0
1716,BP717,2020-03-08,19:14,94.0,40,AV SIEMPRE VIVA,R03,PAGADA,54.0,56.0
1717,CD05601,2023-02-07,19:14,118.0,40,RUTA 9,R02,IMPAGA,78.0,80.0
1726,RFH373,2020-06-13,15:03,110.0,60,AV LIBERTADOR,R02,IMPAGA,50.0,53.0
1729,HF58HXP,2020-02-14,19:15,97.0,60,RUTA 9,R01,PAGADA,37.0,40.0
1731,B81JKY,2020-06-14,09:11,92.0,40,AV SIEMPRE VIVA,R01,APELADA,52.0,54.0
1733,UM96201,2020-03-20,19:15,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,49.0
1736,BP717,2021-01-23,19:15,65.0,40,AV LIBERTADOR,R03,IMPAGA,25.0,27.0
1748,BP717,2023-04-25,10:13,139.0,80,AV SIEMPRE VIVA,R03,IMPAGA,59.0,63.0
1749,NHZ1002,2021-07-09,19:16,102.0,40,AV SIEMPRE VIVA,R01,APELADA,62.0,64.0
